ID,SMILES,Filtered Abnormal Hepatic Fun _IC50,Filtered Cholecystiti_IC50,Filtered Cholelitiasi_IC50,Filtered Cholestasi_IC50,Filtered cholestatic Jaundice_IC50,Filtered Hepatic Failure_IC50,Filtered Hepatic necrosi_IC50,Filtered Hepatic Steatosi_IC50,Filtered Hepatiti_IC50,Filtered HepatoBiliary disorder_IC50,Filtered HepatoCellular injury_IC50,Filtered Hepatomegaly_IC50,Filtered Hepatotoxicity_IC50,Filtered Hyperbilirubinemia_IC50,Filtered Jaundice_IC50,Filtered Liver Injury_IC50
22,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,0.9526897882927032,,,,,,,,0.2927845844172633,,,0.6336831930864351,,,0.789623481484643,0.8790132581601531
23,Cn1cnc2c(F)c(Nc3ccc(Br)cc3F)c(C(=O)NOCCO)cc21,1.0931429623643163,,,,,0.7998320121125282,,,,,,,1.0147230316309166,,,
24,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,0.4675714072592148,,,,,0.1800432538241342,,,0.0709358348009069,,,,,2.206491259481252,0.8688047275322679,
25,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,-0.1118429798575554,,,,,,,,-0.309275406910699,,0.2788503540328451,,-0.0310344589297584,-0.0945387361827293,,-0.2001679878874717
26,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,-0.014932966849499,,,,,,,,-0.1124220804830238,,0.4037890906411451,,-0.3621279955488067,,0.3636547492123618,-0.376259246943153
27,CS(=O)(=O)OCCCCOS(C)(=O)=O,2.573449502699616,,,,,,,,,,,2.664684744876343,,1.5318428055142446,1.806336020525388,
28,CNC(=O)c1ccc(-c2cnc3ncc(Cc4ccc5ncccc5c4)n3n2)cc1F,0.2724195070356344,,,,,,,,-0.4169798564465451,,,,-0.0882619437608152,,,
29,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,2.161807066589355,,,,,,,,,,2.0024957986926744,,,,2.1851699318400715,
30,NC(=O)N1c2ccccc2C=Cc2ccccc21,-0.5285787046295333,,,,-0.2047017476840279,-0.4220167375038282,,,-0.1902255478578837,,-0.5150492070236191,,,,,
31,CN(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1,1.4714212953704666,,,,,,,,1.7305932060944913,,,,,1.8865334944926997,,
32,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,1.060057886193948,,,1.5798803496968263,,,,,,,,,,,,
33,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1,-0.240972109470033,,,0.2788503540328451,,-0.2001679878874717,,,1.6636464164638782,,,,,1.8195867048620864,-0.1264914577549215,
