ID,SMILES,final_Abnormal Hepatic Fun _LOAEL,final_Cholecystiti_LOAEL,final_Cholelitiasi_LOAEL,final_Cholestasi_LOAEL,final_Hepatic Steatosi_LOAEL,final_HepatoBiliary disorder_LOAEL,final_Hepatomegaly_LOAEL
37,C=CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NO)c3csc(N)n3)C2SC1,0.0963282479799532,,,0.1265361703068602,,,
38,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(C[N+]3(C)CCCC3)CSC12)c1csc(N)n1,-0.6621016743549638,-0.3963425749734773,,,,,
39,CC(C)(ON=C(C(=O)NC1C(=O)N2C(C(=O)[O-])=C(C[N+]3(CCNC(=O)c4ccc(O)c(O)c4Cl)CCCC3)CSC12)c1csc(N)n1)C(=O)O,-0.7231982464598223,-0.3963425749734773,-0.3963425749734773,-0.3963425749734773,-0.6702574662638392,-0.5466923645263408,-0.6493702030352592
40,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC12)c1csc(N)n1,-0.7231982464598223,,,-0.3963425749734773,,,
41,COC1(NC(=O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC21,-1.0648808504143517,,,,,,
42,COCC1=C(C(=O)OC(C)OC(=O)OC(C)C)N2C(=O)C(NC(=O)C(=NOC)c3csc(N)n3)C2SC1,-0.3659108460783329,0.6036574250265226,0.6036574250265226,0.0015974336985602,,,
43,CC(C)(ON=C(C(=O)NC1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CSC12)c1csc(N)n1)C(=O)O,-0.939942113806052,,,-0.5724338340291585,,,
44,CON=C(C(=O)NC1C(=O)N2C(C(=O)OC(C)OC(C)=O)=C(COC(N)=O)CSC12)c1ccco1,-0.3363386433721665,,,-0.095312579309496,,,
45,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(COC(N)=O)CSC12)c1ccco1,-0.5978448869737221,,,,,,
46,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,-0.2692389148694435,,0.0015974336985602,,,,
47,NC(=O)OC(Cn1ncnn1)c1ccccc1Cl,0.0317910807945376,,0.3026274293625415,,0.2328325207281044,,
48,Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1C1CCNCC1,-0.2303942616193336,,,-0.0985634756116919,,,
49,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,1.6446670017723664,1.908818386167268,,2.077527783443989,,,
50,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,0.0426739361192301,0.3026274293625415,0.3026274293625415,,,,0.3026274293625415
51,CN1CCCC1CCOC(C)(c1ccccc1)c1ccc(Cl)cc1,1.210165023412994,,,,,,
52,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,0.3437039317832113,,,,,,
53,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,0.7874014310159241,,,,,,
54,CC(Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,0.2645226857355865,,,,,,
55,O=C(O)c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)O)cc(=O)c34)cccc2o1,2.1395839491272866,,,,,,
56,O=P1(N(CCCl)CCCl)NCCCO1,2.0426739361192303,,,2.077527783443989,,,1.9348810677864807
57,CCCCCCOC(=O)NC(=N)c1ccc(NCc2nc3cc(C(=O)N(CCC(=O)OCC)c4ccccn4)ccc3n2C)cc1,0.3992212596330427,,,,,0.1927996839617804,
58,CC(Cn1ccc(-c2ccc(C#N)c(Cl)c2)n1)NC(=O)c1cc(C(C)O)[nH]n1,-0.0365073099283946,,,,,,
59,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(N)cc1,-0.3375373055923759,,,,-0.2778588452148274,,-0.4453301739251248
60,O=C(O)c1ccc(-n2nc(-c3ccccc3O)nc2-c2ccccc2O)cc1,1.1395839491272866,,1.432118336403721,,1.1460328940853617,1.4546812703444607,1.144313396961599
61,Cc1c(O)c(=O)ccn1C,0.864092406125351,,0.7620049726893298,,,0.9281233084258008,2.0844845242779613
62,CC1(COc2ccc(N3CCC(Oc4ccc(OC(F)(F)F)cc4)CC3)cc2)Cn2cc([N+](=O)[O-])nc2O1,0.4381236738530699,,,,,0.803184571817501,
63,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,0.5630624104613698,0.5407881411770266,0.7948596752897429,,,,0.2153837323008924
64,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C2NC(COCCOC)OC(C2C)C1(C)O,2.43812367385307,,,,,,-0.3074950129794451
65,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,0.0432946721703228,,,,,,
66,O=C(OC1CC2CC3CC(C1)N2CC3=O)c1c[nH]c2ccccc12,1.839174689514398,,,,,,
67,CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CNC(CNS(N)(=O)=O)C3)C(C)C12,1.5381446938504169,1.8512476441456969,1.9000945848255573,,,,
68,CNCCC(Oc1cccc2ccccc12)c1cccs1,0.3620534347947357,,,,0.6593408778927499,,0.3122937453089489
69,CN1CCc2nc(C(=O)NC3CC(C(=O)N(C)C)CCC3NC(=O)C(=O)Nc3ccc(Cl)cn3)sc2C1,0.6630834304587169,,,,,,
70,CC(C)(O)CNc1nc(Nc2ccnc(C(F)(F)F)c2)nc(-c2cccc(C(F)(F)F)n2)n1,0.6521389631699009,,,,,,
71,CCN(CC)C(=O)C(C#N)=Cc1cc(O)c(O)c([N+](=O)[O-])c1,-0.6488910324940802,,,,,,
72,CN1CCN(c2ccc(C(=O)Nc3n[nH]c4ccc(Cc5cc(F)cc(F)c5)cc34)c(NC3CCOCC3)c2)CC1,-0.4411115104632654,,,,,0.1042406452804152,
73,COC(=O)C1CC2=CC(=O)CCC2(C)C23OC2CC2(C)C(CCC24CCC(=O)O4)C13,0.3734159337450079,0.3360362404170486,,,,,
74,CCCCc1ncc(C=C(Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1,-0.4047353166386356,0.5744439408889375,,,,,0.7609435502832728
